cter,Lines,Play
First Murderer (1. MUR.),57,Richard III
Second Murderer (2. MUR.),37,Richard III
Gentleman (GENT.),1,Richard III
First Citizen (1. CIT.),8,Richard III
Second Citizen (2. CIT.),13,Richard III
Third Citizen (3. CIT.),28,Richard III
Messenger to the Queen (MESS. QUEEN.),9,Richard III
Stanley Messenger (STAN. MESS.),15,Richard III
Scrivener (SCRIV.),14,Richard III
Aldermen of London (ALD.),0,Richard III
Halberds (HALB.),0,Richard III
Two Bishops (TWO BISH.),0,Richard III
Page (PAGE.),6,Richard III
First Messenger (1. MESS.),5,Richard III
Second Messenger (2. MESS.),3,Richard III
Third Messenger (3. MESS.),7,Richard III
Fourth Messenger (4. MESS.),10,Richard III
Fifth Messenger (5. MESS.),1,Richard III
Ghost of King Henry VI (GHOST. OF HENRY.),9,Richard III
Ghost of Prince Edward of Lancaster (GHOST. OF ED.),6,Richard III
First Lord to Richmond (1. LORD. RICH.),2,Richard III
Second Lord to Richmond (2. LORD. RICH.),1,Richard III
Chorus (CHORUS.),28,Romeo and Juliet
Prince Escalus (PRIN.),75,Romeo and Juliet
Paris (PAR.),70,Romeo and Juliet
Montague (MON.),41,Romeo and Juliet
Capulet (CAP.),271,Romeo and Juliet
Old Capulet (OLD. CAP.),3,Romeo and Juliet
Romeo (ROM.),593,Romeo and Juliet
Mercutio (MER.),175,Romeo and Juliet
Benvolio (BEN.),157,Romeo and Juliet
Tybalt (TYB.),34,Romeo and Juliet
Petruchio (PETR.),0,Romeo and Juliet
Friar Lawrence (FRI. L.),351,Romeo and Juliet
Friar John (FRI. J.),13,Romeo and Juliet
Balthasar (BAL.),32,Romeo and Juliet
Abram (ABR.),5,Romeo and Juliet
Sampson (SAM.),20,Romeo and Juliet
Gregory (GRE.),15,Romeo and Juliet
Peter (PET.),19,Romeo and Juliet
Page to Paris (PAGE.),9,Romeo and Juliet
Apothecary (AP.),7,Romeo and Juliet
Lady Montague (LA. MON.),3,Romeo and Juliet
Lady Capulet (LA. CAP.),114,Romeo and Juliet
Juliet (JUL.),544,Romeo and Juliet
Nurse (NURSE.),241,Romeo and Juliet
Citizens of Verona (CITIZENS.),6,Romeo and Juliet
First Watchman (1. WATCH.),19,Romeo and Juliet
Second Watchman (2. WATCH.),1,Romeo and Juliet
Third Watchman (3. WATCH.),3,Romeo and Juliet
First Musician (1. MUS.),10,Romeo and Juliet
Second Musician (2. MUS.),3,Romeo and Juliet
Third Musician (3. MUS.),1,Romeo and Juliet
First Servingman (1. SERV.),6,Romeo and Juliet
Second Servingman (2. SERV.),14,Romeo and Juliet
Third Servingman (3. SERV.),1,Romeo and Juliet
Anthony (ANT.),1,Romeo and Juliet
Potpan (POT.),1,Romeo and Juliet
Mercutio's Page (MERC. PAGE),0,Romeo and Juliet
Earl of Shrewsbury (SHREWSBURY.),101,Sir Thomas More
Earl of Surrey (SURREY.),152,Sir Thomas More
Sir Thomas Palmer (PALMER.),38,Sir Thomas More
Sir Roger Cholmley (CHOLMLEY.),13,Sir Thomas More
Sir Thomas More (MORE.),851,Sir Thomas More
Lord Mayor (LORD MAYOR.),51,Sir Thomas More
Sir John Munday (MUNDAY.),5,Sir Thomas More
Justice Suresby (SURESBY.),68,Sir Thomas More
Recorder (RECORDER.),4,Sir Thomas More
Sergeant at Arms (SERG.),4,Sir Thomas More
Clerk of the Council (CLERK.),1,Sir Thomas More
Erasmus (ERASMUS.),25,Sir Thomas More
Bishop of Rochester (ROCHESTER.),32,Sir Thomas More
Roper (ROPER.),47,Sir Thomas More
Roper's Wife (ROP. WIFE.),10,Sir Thomas More
John Lincoln (LINCOLN.),64,Sir Thomas More
George Betts (GEORGE.),18,Sir Thomas More
Williamson (WILLIAMSON.),14,Sir Thomas More
Sherwin (SHERWIN.),8,Sir Thomas More
Francis de Barde (BARDE.),6,Sir Thomas More
Caveler (CAVELER.),3,Sir Thomas More
Lifter (LIFTER.),50,Sir Thomas More
Smart (SMART.),0,Sir Thomas More
Harry (HARRY.),6,Sir Thomas More
Robin (ROBIN.),1,Sir Thomas More
Kit (KIT.),4,Sir Thomas More
Morris (MORRIS.),16,Sir Thomas More
Faulkner (FAULKNER.),32,Sir Thomas More
Gough (GOUGH.),15,Sir Thomas More
Catesby (CATESBY.),14,Sir Thomas More
Randall (RANDALL.),10,Sir Thomas More
Downes (DOWNES.),1,Sir Thomas More
Ned (BUTLER.),3,Sir Thomas More
Robin (BREWER.),3,Sir Thomas More
Ralph (HORSEKEEPER.),3,Sir Thomas More
Giles (PORTER.),3,Sir Thomas More
Lieutenant of the Tower (LIEUTENANT.),23,Sir Thomas More
Gentleman Porter of the Tower (GENTLEMAN PORTER.),3,Sir Thomas More
Hangman (HANGMAN.),5,Sir Thomas More
Servingman (MAN.),10,Sir Thomas More
Crofts (CROFTS.),6,Sir Thomas More
Servant to More (SERVANT.),5,Sir Thomas More
Lady More (LADY MORE.),72,Sir Thomas More
Daughter to More (DAUGHTER.),7,Sir Thomas More
Lady Mayoress (LADY MAYORESS.),3,Sir Thomas More
Doll Williamson (DOLL.),74,Sir Thomas More
A Poor Woman (POOR WOMAN.),11,Sir Thomas More
Player of Inclination the Vice (INCLINATION.),58,Sir Thomas More
Player of Lady Vanity (VANITY.),10,Sir Thomas More
Player of Wit (WIT.),43,Sir Thomas More
Player of Prologue (PLAYER.),14,Sir Thomas More
Luggins (LUGGINS.),5,Sir Thomas More
First Officer (1. OFFICER.),3,Sir Thomas More
Second Officer (2. OFFICER.),9,Sir Thomas More
First Warder of the Tower (1. WARDER.),3,Sir Thomas More
Second Warder of the Tower (2. WARDER.),17,Sir Thomas More
Third Warder of the Tower (3. WARDER.),7,Sir Thomas More
First Sheriff (1. SHERIFF.),47,Sir Thomas More
Second Sheriff (2. SHERIFF.),8,Sir Thomas More
First Messenger (1. MESS.),6,Sir Thomas More
Second Messenger (2. MESS.),4,Sir Thomas More
Third Messenger (3. MESS.),12,Sir Thomas More
Clown Betts (CLOWN.),34,Sir Thomas More
Lord (LORD.),147,The Taming of the Shrew
Christopher Sly (SLY.),36,The Taming of the Shrew
Hostess (HOST.),3,The Taming of the Shrew
Page (Bartholomew) (PAGE.),16,The Taming of the Shrew
Baptista (BAP.),168,The Taming of the Shrew
Vincentio (VIN.),22,The Taming of the Shrew
Lucentio (LUC.),182,The Taming of the Shrew
Petruchio (PET.),577,The Taming of the Shrew
Gremio (GRE.),146,The Taming of the Shrew
Hortensio (HOR.),189,The Taming of the Shrew
Tranio (TRA.),289,The Taming of the Shrew
Biondello (BION.),56,The Taming of the Shrew
Grumio (GRU.),78,The Taming of the Shrew
Curtis (CURT.),24,The Taming of the Shrew
Pedant (PED.),45,The Taming of the Shrew
Katherina (KATH.),217,The Taming of the Shrew
Bianca (BIAN.),66,The Taming of the Shrew
Widow (WID.),11,The Taming of the Shrew
Tailor (TAI.),15,The Taming of the Shrew
Haberdasher (HAB.),1,The Taming of the Shrew
Peter (PETER.),2,The Taming of the Shrew
First Servingman (1. SERV.),18,The Taming of the Shrew
Second Servingman (2. SERV.),13,The Taming of the Shrew
Third Servingman (3. SERV.),13,The Taming of the Shrew
First Player (1. PLAY.),4,The Taming of the Shrew
Second Player (2. PLAY.),2,The Taming of the Shrew
First Huntsman (1. HUN.),9,The Taming of the Shrew
Second Huntsman (2. HUN.),3,The Taming of the Shrew
Nicholas (NICH.),2,The Taming of the Shrew
Joseph (JOS.),3,The Taming of the Shrew
Philip (PHIL.),2,The Taming of the Shrew
Nathaniel (NATH.),5,The Taming of the Shrew
Baptista's Messenger (BAP. MESS.),3,The Taming of the Shrew
Messenger (MESS.),8,The Taming of the Shrew
Baptista’s Servant (BAP. SERV.),0,The Taming of the Shrew
Officer (OFF.),0,The Taming of the Shrew
Alonso (ALON.),108,The Tempest
Sebastian (SEB.),114,The Tempest
Prospero (PROS.),676,The Tempest
Antonio (ANT.),142,The Tempest
Ferdinand (FER.),149,The Tempest
Gonzalo (GON.),135,The Tempest
Adrian (ADR.),9,The Tempest
Francisco (FRAN.),11,The Tempest
Caliban (CAL.),170,The Tempest
Trinculo (TRIN.),40,The Tempest
Stephano (STE.),79,The Tempest
Miranda (MIR.),154,The Tempest
Ariel (ARI.),174,The Tempest
Iris (IRIS.),41,The Tempest
Ceres (CER.),24,The Tempest
Juno (JUNO.),7,The Tempest
Master of a Ship (MAST.),2,The Tempest
Boatswain (BOATS.),28,The Tempest
Mariners (MARINERS.),1,The Tempest
Timon of Athens (TIM.),769,Timon of Athens
Alcibiades (ALCIB.),157,Timon of Athens
Apemantus (APEM.),193,Timon of Athens
Caphis (CAPH.),21,Timon of Athens
Cupid (CUP.),6,Timon of Athens
First Bandit (1. BAN.),7,Timon of Athens
Second Bandit (2. BAN.),8,Timon of Athens
Third Bandit (3. BAN.),7,Timon of Athens
First Lady Amazon Masker (1. LADY MASK.),1,Timon of Athens
All Lady Amazon Maskers (ALL LADY MASK.),1,Timon of Athens
First Lord (1. LORD.),34,Timon of Athens
Second Lord (2. LORD.),36,Timon of Athens
Third Lord (3. LORD.),14,Timon of Athens
Fourth Lord (4. LORD.),5,Timon of Athens
First Senator (1. SEN.),87,Timon of Athens
Second Senator (2. SEN.),61,Timon of Athens
Third Senator (3. SEN.),39,Timon of Athens
Fourth Senator (4. SEN.),1,Timon of Athens
First Stranger (1. STRAN.),26,Timon of Athens
Second Stranger (2. STRAN.),3,Timon of Athens
Third Stranger (3. STRAN.),1,Timon of Athens
Flaminius (FLAM.),35,Timon of Athens
Flavius (FLAV.),204,Timon of Athens
Fool (FOOL.),9,Timon of Athens
Hortensius (HOR.),9,Timon of Athens
Isidore's Servant (ISID. SERV.),13,Timon of Athens
Jeweller (JEW.),12,Timon of Athens
Lucilius (LUCIL.),5,Timon of Athens
Lucius (LUC.),13,Timon of Athens
Lucius's Servant (LUC. SERV.),31,Timon of Athens
Lucullus (LUCUL.),9,Timon of Athens
Lucullus's Servant (LUCUL. SERV.),3,Timon of Athens
Merchant (MER.),11,Timon of Athens
Messenger (MESS.),13,Timon of Athens
Messenger from Ventidius (MESS. VENT.),7,Timon of Athens
Old Athenian (OLD ATH.),29,Timon of Athens
Painter (PAIN.),79,Timon of Athens
Philotus (PHI.),6,Timon of Athens
Phrynia (PHRY.),5,Timon of Athens
Poet (POET.),114,Timon of Athens
Sempronius (SEM.),25,Timon of Athens
Servilius (SER.),24,Timon of Athens
Soldier (SOLD.),15,Timon of Athens
Timandra (TIMAN.),8,Timon of Athens
Timon's Page (TIM. PAGE.),4,Timon of Athens
Timon's Servant (TIM. SERV.),18,Timon of Athens
Titus (TIT.),14,Timon of Athens
Varro's First Servant (1. VAR. SERV.),25,Timon of Athens
Varro's Second Servant (2. VAR. SERV.),10,Timon of Athens
Ventidius (VEN.),9,Timon of Athens
Saturninus (SAT.),211,Titus Andronicus
Bassianus (BAS.),63,Titus Andronicus
Titus Andronicus (TIT.),706,Titus Andronicus
Marcus Andronicus (MARC.),297,Titus Andronicus
Lucius (LUC.),181,Titus Andronicus
Quintus (QUIN.),25,Titus Andronicus
Martius (MART.),33,Titus Andronicus
Mutius (MUT.),4,Titus Andronicus
Young Lucius (Y. LUC.),45,Titus Andronicus
Aemilius (AEMIL.),44,Titus Andronicus
Publius (PUB.),14,Titus Andronicus
Sempronius (SEMP.),0,Titus Andronicus
Caius (CAI.),0,Titus Andronicus
Valentine (VAL.),0,Titus Andronicus
Alarbus (ALAR.),0,Titus Andronicus
Demetrius (DEM.),94,Titus Andronicus
Chiron (CHI.),52,Titus Andronicus
Aaron (AAR.),354,Titus Andronicus
Tamora (TAM.),258,Titus Andronicus
Lavinia (LAV.),59,Titus Andronicus
Nurse (NUR.),19,Titus Andronicus
Senators (SENATORS),0,Titus Andronicus
Messenger (MESS.),7,Titus Andronicus
Clown (CLO.),13,Titus Andronicus
Tribune (TRIB.),3,Titus Andronicus
Tribunes (TRIBUNES.),0,Titus Andronicus
A Black Child (BL. CHILD.),0,Titus Andronicus
Judges (JUDGES),0,Titus Andronicus
First Goth (1. GOTH.),11,Titus Andronicus
Second Goth (2. GOTH.),20,Titus Andronicus
Third Goth (3. GOTH.),3,Titus Andronicus
Roman Captain (ROM. CAP.),6,Titus Andronicus
"Priam, King of Troy (PRI.)",20,Troilus and Cressida
Hector (HECT.),213,Troilus and Cressida
Troilus (TRO.),519,Troilus and Cressida
Paris (PAR.),91,Troilus and Cressida
Deiphobus (DEI.),3,Troilus and Cressida
Helenus (HEL.),4,Troilus and Cressida
Margarelon (MAR.),3,Troilus and Cressida
Aeneas (AENE.),139,Troilus and Cressida
Calchas (CAL.),31,Troilus and Cressida
Pandarus (PAN.),195,Troilus and Cressida
Agamemnon (AGAM.),188,Troilus and Cressida
Menelaus (MEN.),12,Troilus and Cressida
Nestor (NEST.),152,Troilus and Cressida
Ulysses (ULYSS.),484,Troilus and Cressida
Achilles (ACHIL.),179,Troilus and Cressida
Ajax (AJAX.),74,Troilus and Cressida
Diomedes (DIO.),103,Troilus and Cressida
Patroclus (PATR.),63,Troilus and Cressida
Thersites (THER.),92,Troilus and Cressida
Helen (HELEN.),21,Troilus and Cressida
Andromache (AND.),15,Troilus and Cressida
Cassandra (CAS.),37,Troilus and Cressida
Cressida (CRES.),264,Troilus and Cressida
Prologue (PROLOGUE.),31,Troilus and Cressida
Troilus's Boy (TRO. BOY.),3,Troilus and Cressida
Paris's Servant (PAR. SERV.),14,Troilus and Cressida
Greek Trumpeter (GREEK TRUM.),0,Troilus and Cressida
Alexander (ALEX.),19,Troilus and Cressida
Antenor (ANT.),1,Troilus and Cressida
Trojan Trumpeter (TROJ. TRUM.),0,Troilus and Cressida
Diomedes's Servant (DIO. SERV.),1,Troilus and Cressida
Greek Knight (GREEK. KNI.),0,Troilus and Cressida
Myrmidon (MYR.),1,Troilus and Cressida
Myrmidons (MYRMIDONS.),1,Troilus and Cressida
Musicians (MUSIC.),0,Troilus and Cressida
Trojan Soldiers (TROJ. SOLD.),0,Troilus and Cressida
Orsino (DUKE.),215,Twelfth Night
Sebastian (SEB.),98,Twelfth Night
Antonio (ANT.),105,Twelfth Night
Sea Captain (CAP.),32,Twelfth Night
Valentine (VAL.),11,Twelfth Night
Curio (CUR.),4,Twelfth Night
Sir Toby Belch (SIR TO.),163,Twelfth Night
Sir Andrew Aguecheek (SIR AND.),88,Twelfth Night
Malvolio (MAL.),115,Twelfth Night
Fabian (FAB.),65,Twelfth Night
Feste (CLO.),163,Twelfth Night
Olivia (OLI.),272,Twelfth Night
Viola (VIO.),287,Twelfth Night
Maria (MAR.),61,Twelfth Night
Olivia's Servant (SERV.),1,Twelfth Night
Priest (PRIEST.),8,Twelfth Night
First Officer (1. OFF.),12,Twelfth Night
Second Officer (2. OFF.),3,Twelfth Night
Duke of Milan (DUKE.),199,The Two Gentlemen of Verona
Valentine (VAL.),372,The Two Gentlemen of Verona
Proteus (PRO.),438,The Two Gentlemen of Verona
Antonio (ANT.),35,The Two Gentlemen of Verona
Thurio (THU.),54,The Two Gentlemen of Verona
Eglamour (EGL.),29,The Two Gentlemen of Verona
Host (HOST.),31,The Two Gentlemen of Verona
Speed (SPEED.),131,The Two Gentlemen of Verona
Launce (LAUNCE.),69,The Two Gentlemen of Verona
Panthino (PAN.),36,The Two Gentlemen of Verona
Julia (JUL.),320,The Two Gentlemen of Verona
Silvia (SIL.),155,The Two Gentlemen of Verona
Lucetta (LUC.),72,The Two Gentlemen of Verona
Musicians (MUSIC.),0,The Two Gentlemen of Verona
First Outlaw (1. OUT.),22,The Two Gentlemen of Verona
Second Outlaw (2. OUT.),16,The Two Gentlemen of Verona
Third Outlaw (3. OUT.),26,The Two Gentlemen of Verona
Crab (CRAB),0,The Two Gentlemen of Verona
"Theseus, Duke of Athens (THE.)",329,The Two Noble Kinsmen
Pirithous (PIR.),125,The Two Noble Kinsmen
Palamon (PAL.),595,The Two Noble Kinsmen
Arcite (ARC.),490,The Two Noble Kinsmen
Valerius (VAL.),12,The Two Noble Kinsmen
Herald (HER.),9,The Two Noble Kinsmen
Jailer (JAIL.),96,The Two Noble Kinsmen
Wooer to the Jailer's Daughter (WOOER.),101,The Two Noble Kinsmen
Doctor (DOCT.),53,The Two Noble Kinsmen
Hippolyta (HIP.),102,The Two Noble Kinsmen
Emilia (EMIL.),372,The Two Noble Kinsmen
Jailer's Daughter (DAUGH.),273,The Two Noble Kinsmen
Waiting-Woman to Emilia (WOMAN.),13,The Two Noble Kinsmen
Boy (BOY),24,The Two Noble Kinsmen
Bavian (BAVIAN.),1,The Two Noble Kinsmen
Gentleman (GENT.),4,The Two Noble Kinsmen
Gerrold (SCHOOL.),107,The Two Noble Kinsmen
Hymen (HYM.),0,The Two Noble Kinsmen
Prologue (PRO.),50,The Two Noble Kinsmen
First Queen (1. QUEEN.),76,The Two Noble Kinsmen
Second Queen (2. QUEEN.),53,The Two Noble Kinsmen
Third Queen (3. QUEEN.),50,The Two Noble Kinsmen
First Country Folk (1. COUN.),15,The Two Noble Kinsmen
Second Country Folk (2. COUN.),30,The Two Noble Kinsmen
Third Country Folk (3. COUN.),25,The Two Noble Kinsmen
Fourth Country Folk (4. COUN.),17,The Two Noble Kinsmen
Jailer's First Friend (1. FRIEND.),27,The Two Noble Kinsmen
Jailer's Second Friend (2. FRIEND.),22,The Two Noble Kinsmen
Jailer's Brother (JAIL. BROTH.),10,The Two Noble Kinsmen
First Messenger (1. MESS.),48,The Two Noble Kinsmen
Second Messenger (2. MESS.),1,The Two Noble Kinsmen
Servant (SERV.),13,The Two Noble Kinsmen
First Knight (1. KNIGHT.),8,The Two Noble Kinsmen
Second Knight (2. KNIGHT.),6,The Two Noble Kinsmen
Third Knight (3. KNIGHT.),3,The Two Noble Kinsmen
Timothy the Taborer (TABORER.),1,The Two Noble Kinsmen
Artesius (ART.),0,The Two Noble Kinsmen
Nell (NELL.),1,The Two Noble Kinsmen
Friz (FRIZ.),0,The Two Noble Kinsmen
Maudline (MAUD.),0,The Two Noble Kinsmen
Luce (LUCE.),0,The Two Noble Kinsmen
Barbary (BARB.),0,The Two Noble Kinsmen
Executioner (EXEC.),0,The Two Noble Kinsmen
First Knight Attending Arcite (1. KNIGHT. ARC.),0,The Two Noble Kinsmen
Second Knight Attending Arcite (2. KNIGHT. ARC.),0,The Two Noble Kinsmen
Third Knight Attending Arcite (3. KNIGHT. ARC.),0,The Two Noble Kinsmen
"Leontes, King of Sicilia (LEON.)",692,The Winter's Tale
Mamillius (MAM.),22,The Winter's Tale
Camillo (CAM.),263,The Winter's Tale
Antigonus (ANT.),111,The Winter's Tale
Cleomines (CLEO.),24,The Winter's Tale
Dion (DION.),28,The Winter's Tale
"Polixenes, King of Bohemia (POL.)",237,The Winter's Tale
Florizel (FLO.),205,The Winter's Tale
Archidamus (ARCH.),7,The Winter's Tale
Old Shepherd (SHEP.),88,The Winter's Tale
Clown (CLO.),65,The Winter's Tale
Autolycus (AUT.),122,The Winter's Tale
Mariner (MAR.),11,The Winter's Tale
Jailer (JAIL.),13,The Winter's Tale
Hermione (HER.),211,The Winter's Tale
Perdita (PER.),128,The Winter's Tale
Paulina (PAUL.),333,The Winter's Tale
Emilia (EMIL.),20,The Winter's Tale
Mopsa (MOP.),15,The Winter's Tale
Dorcas (DOR.),12,The Winter's Tale
"Time, as Chorus (TIME.)",32,The Winter's Tale
First Lady (1. LADY),9,The Winter's Tale
Second Lady (2. LADY),4,The Winter's Tale
Officer (OFF.),14,The Winter's Tale
First Lord (1. LORD.),63,The Winter's Tale
First Gentleman (1. GENT.),7,The Winter's Tale
Second Gentleman (2. GENT.),5,The Winter's Tale
Third Gentleman (3. GENT.),6,The Winter's Tale
Servant of the Old Shepherd (SERV. OLD.),3,The Winter's Tale
First Servant (1. SERV.),29,The Winter's Tale
Second Servant (2. SERV.),2,The Winter's Tale
Third Servant (3. SERV.),5,The Winter's Tale
Gentleman Attendant (GENT. ATT.),0,The Winter's Tale
Twelve Satyrs (12. SAT.),0,The Winter's Tale
Shepherds and Shepherdesses (SHEPS.),0,The Winter's Tale
Bear (BEAR),0,The Winter's Tale
